Species	ppl①	ppl②	ppl③	ppl④	ppl⑤	pss①	pss②	pss③	pss④	pss⑤	bbc①	bbc②	bbc③	bbc④	bbc⑤	sre①	sre②	sre③	sre④	sre⑤
DAG30:2(14:1/16:1)	0.000368708	0.000441685	0.000352529	0.000638818	0.000301968	0.000377158	0.000569945	0.000481376	0.000902895	0.001123209	0.000894364	0.000671751	0.000816181	0.000608126	0.001111254	0.001686804	0.000886482	0.001895489	0.00102712	0.001401197
DAG30:1(14:0/16:1)	0.000718512	0.001006264	0.000389942	0.001355846	0.000517715	0.001045565	0.001049337	0.000728475	0.001283574	0.001823174	0.002110035	0.001549957	0.00197453	0.001593624	0.002725981	0.002641262	0.001807788	0.004609975	0.002149545	0.00277218
DAG32:2(18:2/14:0)	0.000666755	0.000379332	0.000199838	0.000672308	0.000286647	0.000300331	0.001100292	0.000632138	0.000912277	0.000992351	0.001126674	0.000842206	0.001244729	0.000716616	0.001629511	0.001465943	0.00059462	0.001463907	0.000862343	0.001518904
DAG32:2(16:1/16:1)	0.003501188	0.002067934	0.002096935	0.003182243	0.002208216	0.004862394	0.004784525	0.003505975	0.005535522	0.006705243	0.006088024	0.004763979	0.005629955	0.00566267	0.009334345	0.008973929	0.004795408	0.014102088	0.006154652	0.009361546
DAG32:1(16:1/16:0)	0.001619263	0.001673477	0.001046797	0.001662088	0.001180525	0.00259157	0.002822518	0.002209908	0.002102631	0.003541642	0.004063161	0.003403821	0.003337067	0.004099758	0.005751625	0.005511901	0.004200932	0.007258672	0.004344514	0.008140331
DAG32:1(14:0/18:1)	0.000466007	0.000955857	0.00023816	0.000840968	0.0004257	0.000830715	0.000558094	0.000413402	0.000836879	0.001198574	0.001301611	0.000884195	0.001081905	0.001398736	0.001525358	0.002647679	0.000949403	0.003150915	0.001471181	0.001669403
DAG34:3(18:2/16:1)	0.001998634	0.001157436	0.001164824	0.001568313	0.000864279	0.001405828	0.002391418	0.001847822	0.002245345	0.002230307	0.001336333	0.001451321	0.0015447	0.001711817	0.002949434	0.002847893	0.00194209	0.002781674	0.00200895	0.002302336
DAG34:2(16:0/18:2)	0.001472906	0.001498923	0.000930581	0.002017343	0.001059983	0.002208518	0.002747661	0.001359814	0.002418383	0.002723936	0.002696105	0.002117579	0.00225414	0.002502945	0.004495081	0.004498074	0.002360519	0.004124043	0.002406517	0.003635304
DAG34:2(16:1/18:1)	0.002181189	0.00159133	0.001297452	0.002458493	0.001211887	0.002894584	0.003140925	0.002021187	0.002907641	0.003895835	0.002252818	0.00190917	0.002850478	0.003202012	0.004321939	0.00538726	0.003539566	0.007008627	0.003804402	0.005358023
DAG34:1(16:0/18:1)	0.00148075	0.002112862	0.000868163	0.002019474	0.000942876	0.002216222	0.002135058	0.001413336	0.002887796	0.003982848	0.003821074	0.003054057	0.003430644	0.004663742	0.004966889	0.00678038	0.00367561	0.008940277	0.004772377	0.006829317
DAG36:3(18:2/18:1)	0.001957421	0.000834008	0.001134054	0.001553425	0.000898957	0.001433158	0.00281888	0.001169333	0.002414771	0.00264582	0.001675021	0.000328888	0.000880038	0.001802665	0.002413525	0.004045637	0.001384469	0.003351679	0.002157943	0.003767312
DAG36:2(18:1/18:1)	0.002020788	0.002402918	0.001015386	0.001553793	0.00083089	0.002829562	0.002506144	0.001412052	0.002891996	0.004942703	0.002531747	0.0019475	0.002225798	0.004928036	0.003673592	0.007685337	0.002534641	0.010866443	0.003996497	0.006944258
TAG40:2(14:1)	0.00011252	0.000142326	6.34882E-05	0.000352859	0.000105094	0.000241647	0.000224171	0.000202177	0.000310118	0.000226427	0.000264841	0.000289904	0.000339172	0.000250228	0.000407247	0.000377914	0.000256735	0.000486182	0.000525692	0.000694363
TAG40:1(14:1)	0.000227045	0.000280493	0.000124488	0.00069975	0.000215759	0.000449546	0.000361185	0.00034737	0.000410291	0.000396355	0.00048605	0.000606661	0.000706971	0.000425299	0.000842641	0.000793081	0.000603439	0.000792962	0.001202526	0.0011392
TAG42:2(14:1)	0.000463159	0.000554401	0.000257281	0.001448524	0.00045423	0.001205559	0.000919297	0.000874074	0.001210046	0.001012247	0.000796089	0.001150434	0.00125625	0.000729653	0.001503673	0.001453919	0.001052215	0.001521266	0.002223166	0.002058416
TAG42:1(14:1)	0.000470239	0.000503622	0.000233376	0.001368732	0.00042712	0.000982946	0.000657272	0.000786662	0.000931091	0.00073848	0.000669942	0.000900706	0.001198905	0.000639188	0.001366125	0.00152839	0.001308302	0.001513556	0.002782087	0.002092345
TAG42:0(14:0)	0.00151617	0.001680679	0.000680374	0.003109236	0.001236078	0.002383752	0.001406136	0.001544483	0.001973769	0.002009509	0.001971742	0.002621775	0.003906542	0.001989918	0.004269636	0.005734193	0.005541888	0.004703383	0.010377857	0.006288627
TAG44:2(16:1)	0.000768866	0.00077256	0.00049732	0.001558712	0.000647533	0.002619397	0.002172247	0.001731952	0.002582601	0.002235761	0.002204779	0.002787715	0.003241043	0.002040147	0.004102391	0.003070494	0.002095783	0.003885904	0.004503037	0.004486174
TAG44:1(14:1)	0.000256355	0.000312089	0.000140803	0.000612328	0.000207006	0.000465944	0.000345787	0.000357015	0.000504049	0.00043713	0.000403534	0.000511939	0.000681502	0.000427836	0.000661185	0.000923983	0.000820276	0.001019469	0.001596113	0.001185833
TAG44:1(16:1)	0.001014646	0.001157744	0.000592127	0.002220564	0.000878717	0.002163645	0.001679286	0.001373331	0.001911705	0.001853769	0.002702537	0.003079623	0.004066899	0.002392769	0.004030003	0.00369882	0.003107679	0.004029863	0.005891892	0.004601141
TAG46:3(18:2)	0.00022981	0.000174994	0.000162028	0.00031286	0.000181704	0.000815935	0.000860504	0.000657422	0.000768015	0.000743974	0.000617134	0.000757915	0.000784613	0.000492603	0.001173627	0.000813014	0.000481765	0.00090073	0.000995954	0.001101909
TAG46:3(16:1)	0.000754248	0.000740154	0.000539612	0.001172269	0.000586368	0.002871996	0.002648107	0.002270059	0.003046376	0.002488873	0.002067946	0.002635547	0.002817472	0.001979564	0.004116375	0.003261769	0.001890222	0.003867811	0.004251636	0.004924577
TAG46:2(18:2)	0.000249323	0.000262346	0.000187647	0.000370167	0.000218677	0.00100235	0.000910248	0.000514141	0.000715393	0.000676452	0.001277786	0.001195538	0.001598225	0.000844187	0.001856509	0.00084265	0.000743219	0.001013773	0.001126063	0.001098356
TAG46:1(16:1)	0.001070539	0.001319182	0.00065936	0.002164245	0.000920476	0.001974459	0.001502602	0.001540229	0.00171151	0.001804005	0.002209084	0.002921781	0.00383272	0.002564377	0.003761515	0.004117463	0.003238862	0.00480039	0.006082555	0.004454284
TAG48:4(18:2)	0.0001692	0.000149537	0.000167654	0.000209892	0.00015056	0.000625271	0.000688907	0.000660921	0.0007674	0.000530361	0.000340361	0.00043362	0.000455848	0.000313401	0.000768606	0.000645703	0.000355196	0.000785807	0.000814616	0.000950307
TAG48:3(18:2)	0.000640721	0.000557257	0.000496692	0.000856956	0.000535096	0.001890727	0.002002981	0.00157814	0.00193628	0.001515869	0.001514218	0.001794565	0.002115513	0.00136065	0.002944464	0.002166971	0.001333949	0.002378231	0.00277462	0.002691823
TAG48:3(16:1)	0.002882313	0.002712498	0.002281524	0.004147036	0.002626204	0.009553315	0.00929468	0.009670818	0.010850372	0.008606932	0.005993957	0.009113666	0.01005153	0.007511194	0.013716363	0.013636276	0.0078957	0.016980822	0.018592323	0.021131581
TAG48:3(16:0)	0.000216234	0.000192761	0.000165494	0.00026673	0.000165889	0.000718105	0.000711445	0.000550431	0.000669807	0.000578045	0.000642972	0.000814972	0.000991877	0.000582705	0.001196331	0.000675854	0.000460249	0.000811867	0.000945437	0.00081788
TAG48:2(18:2)	0.000348695	0.000348699	0.000254131	0.000514161	0.00029357	0.000906638	0.00086581	0.000650072	0.000740184	0.000604145	0.001162883	0.001184742	0.001666192	0.001018749	0.00178975	0.001108918	0.000849493	0.00124671	0.001564832	0.001248556
TAG48:2(16:1)	0.003941726	0.003561102	0.002586558	0.006264543	0.003228435	0.009195122	0.007780917	0.006862433	0.008678919	0.007296377	0.008223023	0.012616248	0.014394234	0.010431419	0.01682931	0.012847735	0.010324144	0.016406507	0.021616996	0.017437459
TAG48:1(16:0)	0.002856034	0.003002858	0.001529179	0.005979965	0.002334363	0.005058552	0.003756995	0.003571157	0.004551555	0.004549324	0.006515498	0.008601488	0.011955911	0.007252886	0.011724183	0.010435519	0.010078886	0.011438933	0.018635525	0.013422218
TAG48:1(16:1)	0.000647853	0.000848335	0.000465488	0.00104875	0.000543738	0.001347296	0.001183136	0.001295988	0.001226515	0.00127742	0.001858496	0.002592732	0.003373153	0.002348531	0.003118456	0.00261723	0.002484441	0.004018048	0.00383941	0.003397398
TAG48:0(16:0)	0.000359344	0.000646271	0.000311187	0.000271844	0.000315311	0.000561595	0.000552348	0.001247128	0.00061078	0.000771514	0.00052774	0.000585921	0.000811141	0.000992882	0.000520093	0.001545416	0.001288538	0.003084401	0.00125679	0.001503569
TAG50:4(18:2)	0.000774809	0.00064725	0.000659074	0.000784405	0.000552969	0.002076505	0.002391835	0.00259493	0.00233361	0.001704862	0.000920302	0.001548817	0.001512682	0.001129584	0.002474373	0.002676291	0.001335799	0.002892103	0.003298603	0.0042085
TAG50:4(16:2)	3.34213E-05	3.9386E-05	3.50737E-05	4.42836E-05	2.85099E-05	9.89838E-05	0.000117364	0.000109759	0.000114851	7.19591E-05	3.22071E-05	6.81948E-05	7.36336E-05	4.27365E-05	0.000103522	0.000112882	5.7139E-05	0.000156427	0.000130077	0.000186593
TAG50:3(18:2)	0.001017031	0.00089771	0.000907235	0.001151924	0.000859159	0.002626064	0.002746724	0.002126039	0.002443711	0.001713037	0.001852709	0.002701945	0.002998021	0.002193924	0.004241087	0.002899053	0.001822705	0.003735658	0.00368167	0.003598193
TAG50:3(16:1)	0.003634308	0.003183729	0.003012655	0.004489184	0.003141271	0.011730277	0.009472563	0.00968902	0.0114164	0.008746746	0.00548346	0.008896531	0.008964833	0.007832388	0.012980188	0.013011458	0.008320399	0.017815415	0.018223573	0.022429875
TAG50:3(16:2)	3.35775E-05	2.50918E-05	2.31055E-05	3.39442E-05	2.77833E-05	6.05557E-05	6.25725E-05	6.70204E-05	6.36567E-05	5.14508E-05	5.00008E-05	5.68538E-05	6.48094E-05	5.81723E-05	8.57199E-05	7.56372E-05	5.25148E-05	0.000151125	0.000107482	8.436E-05
TAG50:2(18:2)	0.000274937	0.00028911	0.000223538	0.000339068	0.000258475	0.000642711	0.000686914	0.000491095	0.000551833	0.000466119	0.000868065	0.001185389	0.001409102	0.000935153	0.001534411	0.000783537	0.000646031	0.001034542	0.001054865	0.001058576
TAG50:2(16:0)	0.002986121	0.002526257	0.001836219	0.004190556	0.002369432	0.005688913	0.005173878	0.004317358	0.005224628	0.004329622	0.005709924	0.008487272	0.010045823	0.007157224	0.011476906	0.008732556	0.006830507	0.010677445	0.013622702	0.012099965
TAG50:2(16:1)	0.002329367	0.002048726	0.001432313	0.003609537	0.001879265	0.004014066	0.003853349	0.003165457	0.003976833	0.003572614	0.00393575	0.005715269	0.006705394	0.004853271	0.007681454	0.006634257	0.005810995	0.008826983	0.011694632	0.010158606
TAG50:1(16:1)	0.000102654	0.00011826	6.72449E-05	0.000126974	0.000101325	0.000168623	0.000160756	0.000165157	0.000154753	0.00014348	0.000373896	0.000494094	0.000564125	0.000354163	0.000586269	0.000376081	0.000366612	0.000615701	0.000567963	0.000500127
